Variable,YEAR,SEMESTRE,Clase,Total
AREAC_SNIES,2011,1,Bellas artes,213
AREAC_SNIES,2011,1,Ciencias de la educación,9
AREAC_SNIES,2011,1,Ciencias de la salud,561
AREAC_SNIES,2011,1,Ciencias sociales y humanas,983
AREAC_SNIES,2011,1,"Economía, administración, contaduría y afines",480
AREAC_SNIES,2011,1,"Ingeniería, arquitectura, urbanismo y afines",1451
AREAC_SNIES,2011,1,Matemáticas y ciencias naturales,479
AREAC_SNIES,2011,2,"Agronomía, veterinaria y afines",127
AREAC_SNIES,2011,2,Bellas artes,206
AREAC_SNIES,2011,2,Ciencias de la educación,15
AREAC_SNIES,2011,2,Ciencias de la salud,357
AREAC_SNIES,2011,2,Ciencias sociales y humanas,640
AREAC_SNIES,2011,2,"Economía, administración, contaduría y afines",352
AREAC_SNIES,2011,2,"Ingeniería, arquitectura, urbanismo y afines",1181
AREAC_SNIES,2011,2,Matemáticas y ciencias naturales,439
AREAC_SNIES,2012,1,"Agronomía, veterinaria y afines",139
AREAC_SNIES,2012,1,Bellas artes,209
AREAC_SNIES,2012,1,Ciencias de la educación,4
AREAC_SNIES,2012,1,Ciencias de la salud,335
AREAC_SNIES,2012,1,Ciencias sociales y humanas,615
AREAC_SNIES,2012,1,"Economía, administración, contaduría y afines",319
AREAC_SNIES,2012,1,"Ingeniería, arquitectura, urbanismo y afines",1309
AREAC_SNIES,2012,1,Matemáticas y ciencias naturales,343
AREAC_SNIES,2012,2,"Agronomía, veterinaria y afines",166
